class,alcohol,malic,ash,mg,hue,od_ratio,proline
1,14.23,1.71,2.43,127,1.04,3.92,1065
1,13.2,1.78,2.14,100,1.05,3.4,1050
1,13.16,2.36,2.67,101,1.03,3.17,1185
1,14.37,1.95,2.5,113,0.86,3.45,1480
1,13.24,2.59,2.87,118,1.04,2.93,735
1,14.2,1.76,2.45,112,1.05,2.85,1450
1,14.39,1.87,2.45,96,1.02,3.58,1290
1,14.06,2.15,2.61,121,1.06,3.58,1295
1,14.83,1.64,2.17,97,1.08,2.85,1045
1,13.86,1.35,2.27,98,1.01,3.55,1045
1,14.1,2.16,2.3,105,1.25,3.17,1510
1,14.12,1.48,2.32,95,1.17,2.82,1280
1,13.75,1.73,2.41,89,1.15,2.9,1320
1,14.75,1.73,2.39,91,1.25,2.73,1150
1,14.38,1.87,2.38,102,1.2,3.0,1547
1,13.63,1.81,2.7,112,1.28,2.88,1310
1,14.3,1.92,2.72,120,1.07,2.65,1280
1,13.83,1.57,2.62,115,1.13,2.57,1130
1,14.19,1.59,2.48,108,1.23,2.82,1680
1,13.64,3.1,2.56,116,0.96,3.36,845
1,14.06,1.63,2.28,126,1.09,3.71,780
1,12.93,3.8,2.65,102,1.03,3.52,770
1,13.71,1.86,2.36,101,1.11,4.0,1035
1,12.85,1.6,2.52,95,1.09,3.63,1015
1,13.5,1.81,2.61,96,1.12,3.82,845
1,13.05,2.05,3.22,124,1.13,3.2,830
1,13.39,1.77,2.62,93,0.92,3.22,1195
1,13.3,1.72,2.14,94,1.02,2.77,1285
1,13.87,1.9,2.8,107,1.25,3.4,915
1,14.02,1.68,2.21,96,1.04,3.59,1035
1,13.73,1.5,2.7,101,1.19,2.71,1285
1,13.58,1.66,2.36,106,1.09,2.88,1515
1,13.68,1.83,2.36,104,1.23,2.87,990
1,13.76,1.53,2.7,132,1.25,3.0,1235
1,13.51,1.8,2.65,110,1.1,2.87,1095
1,13.48,1.81,2.41,100,1.04,3.47,920
1,13.28,1.64,2.84,110,1.09,2.78,880
1,13.05,1.65,2.55,98,1.12,2.51,1105
1,13.07,1.5,2.1,98,1.18,2.69,1020
1,14.22,3.99,2.51,128,0.89,3.53,760
1,13.56,1.71,2.31,117,0.95,3.38,795
1,13.41,3.84,2.12,90,0.91,3.0,1035
1,13.88,1.89,2.59,101,0.88,3.56,1095
1,13.24,3.98,2.29,103,0.82,3.0,680
1,13.05,1.77,2.1,107,0.88,3.35,885
1,14.21,4.04,2.44,111,0.87,3.33,1080
1,14.38,3.59,2.28,102,1.04,3.44,1065
1,13.9,1.68,2.12,101,0.91,3.33,985
1,14.1,2.02,2.4,103,1.07,2.75,1060
1,13.94,1.73,2.27,108,1.12,3.1,1260
1,13.05,1.73,2.04,92,1.12,2.91,1150
1,13.83,1.65,2.6,94,1.24,3.37,1265
1,13.82,1.75,2.42,111,1.01,3.26,1190
1,13.77,1.9,2.68,115,1.13,2.93,1375
1,13.74,1.67,2.25,118,0.92,3.2,1060
1,13.56,1.73,2.46,116,0.98,3.03,1120
1,14.22,1.7,2.3,118,0.94,3.31,970
1,13.29,1.97,2.68,102,1.07,2.84,1270
1,13.72,1.43,2.5,108,0.89,2.87,1285
2,12.37,0.94,1.36,88,1.05,1.82,520
2,12.33,1.1,2.28,101,1.25,1.67,680
2,12.64,1.36,2.02,100,0.98,1.59,450
2,13.67,1.25,1.92,94,1.23,2.46,630
2,12.37,1.13,2.16,87,1.22,2.87,420
